Default,KEYWORDS,CONTAIN_LIST,CONTAIN_CATEGORY,EXCEPT_LIST,EXCEPT_CATEGORY
1,After Shave,,,,
1,Balm,,,,
1,Battery,,,"Cover, Case",
1,Cleaner,,,"Mop, Fiber, Fibre, Vacuum, Vaccum, Ear, Pressure, Tongue",
1,Cologne,,,,
0,Condition,,"""Beauty Products and Personal Care"", ""Baby Care"", ""Health and Wellness""",,
1,Deo,,,"Video, Rhodeo, Rodeo","""Movies, Music and Video Games"", ""Electronics and Appliances"", ""Camera and photos"""
0,Face,,"""Beauty Products and Personal Care"", ""Health and Wellness""","Bar, Helmet, Towel",
0,Facial,,"""Beauty Products and Personal Care"", ""Health and Wellness""","Steamer, Bat, Towel",
1,EDT,,,,
1,EDP,,,,
1,Extinguisher,,,,
1,Fresh,,,"Container, Foil, Air Loc, Styler, Striaghtner, Skirt, Cashew, Almond , Pista, Tupperware",
1,Gel,,,"Silicon, Cover, Bag, Angel, Bar, Softgels, Soft, Geliyo","""Sports and Outdoors"", ""Shoes and footwear"""
0,Health,,"""Beauty Products and Personal Care"", ""Health and Wellness""",,
1,Lotion,,,,
1,Juice,,,"Juicer, Canvas",
1,Mah,,,"Maha, Mahi, Maht","""Automotive"", ""Kitchenware"""
1,Ml,,,"Container, Bag, Jug, Casserole, Thermosteel, Milton, Tupperware, Storage, Dispenser, Amla, Watch, Shaker, Jar Set, Rimless, Asus, Flask, Seamless, Bottle, Ramleela, Camlin, Kurta, Mug, Steel, Hamlet, Headset, Xiaom, Bluetooth, Headphone, Earphone","""Home and Kitchen"", ""KitchenWare"", ""Sports and Outdoors"""
1,Oil,,,"Boiler, Dispenser, Pastel, Tupperware, Container, Voil, Foil, Coil","""Home and Kitchen"", ""KitchenWare"", ""Office Products"""
1,Paint,,,"Painting, Painted, Marker",
1,Parfum,,,,
1,Perfum,,,,
1,Polish,,,"Polished, Jew","""Apparel & Accessories"""
1,Power Bank,,,,
1,Powerbank,,,,
1,Recharg,,,,
1,Serum,,,,
1,Shampoo,,,,
0,Shav,"Gel, Cream","""Beauty Products and Personal Care"", ""Health and Wellness"", ""Baby Care""",Cap,
0,Shower,"Cream, Body, Gel","""Beauty Products and Personal Care"", ""Health and Wellness"", ""Baby Care""",Cap,
0,Skin,,"""Beauty Products and Personal Care"", ""Health and Wellness"", ""Baby Care""",Bra,
0,Spray,,"""Beauty Products and Personal Care"", ""Health and Wellness"", ""Baby Care""",Gun,
1,Sunscreen,,,,
1,Temptation,,,,
1,Trimmer,,,Tummy,
1,Vlcc,,,,
0,Wash,"Face, Body","""Beauty Products and Personal Care"", ""Baby Care""","Jeans, Brush",
0,Cream,,"""Beauty Products and Personal Care"", ""Baby Care"", ""Health and Wellness""","Dhoti, Saree, Salwar, Kameez, Wedge, Heels, Do Bhai, Top, kurti, Clip, Belt",
1,General Good,,,,
1,Lighter,,,Pen,
1,Thinner,,,,
1,Tonic,,,Tonica,
1,Squash,,,,
1,Scrub,,,,
0,Organic Product,,,,
1,Puree,,,,
1,Sharbat,,,,
1,Cosmetics,,,,
0,Mask,Kit,,,
1,Makeup,,,,
1,Happily Unmarried,,,,
1,Moistur,,,,
1,Inverter,,,,
1,Sanitizer,,,,
1,Vinegar,,,,
1,Cider,,,,
1,Hair Colour,,,,
1,Hair Color,,,,
1,Luminous UPS,,,,
1,Agarbatti,,,,
1,Enamel,,,"Metal, Alloy, Jewel, Jewl",
1,Make-up,,,,
1,Makeup,,,,
1,Lacquer,,,,
1,Musk,,,"Muska, Muske, Shoes, Dress",
1,Creme,,,,
1,Sandhi sudha,,,,
1,Inkjet,,,,
0,Wax,Hair,,,
1,Zippo,,,,
1,Brut,,,"Slipper, Shoe, Boot, Brutsch",
1,Epilator,,,,
0,Sample,,"""Home and Kitchen"", ""KitchenWare"", ""Office Products"", ""Automotive"", ""Tools and Hardware"", ""Sports and Outdoors""",,
0,Kart,Rocket,,,
1,Akfix,,,,
1,Nivea,,,,
1,Radyance,,,,
1,Grocery,,,,
0,Pest,Insect,,,
